Название товара;Артикул Ozon;Артикул продавца;Ссылка на товар;Бренд;Категория 1 уровня;Категория 3 уровня;Super-товар;Заказано на сумму, ₽;Динамика суммы заказов, %;Заказано товаров;Самая низкая цена, ₽;Средняя цена покупки, ₽;Упущенные продажи, ₽;Дней без остатка, дни;Среднесуточные продажи, ₽;Среднесуточные продажи, штуки;Схема работы;Среднее время доставки;Объем товара, л;Доля затрат на Ozon, FBO, %;Доля затрат на Ozon, FBS, %;Показы в поиске и каталоге;Посещения карточки товара;В корзину из поиска и каталога, %;В корзину из карточки, %;Доля рекламных расходов, %;Доля выкупа, %;Дата создания карточки товара
—;—;—;—;—;—;—;Приносят больше выручки и чаще продаются. А ещё за их поставки можно получить бонусы и скидки. Узнайте, какие Super-товары продают на Ozon сейчас;Общая стоимость заказанных товаров, включая отмены и возвраты. Для расчёта берём цену, которую заплатил покупатель, с учётом скидок продавца и покупателя;Как изменилась суммарная стоимость заказов в сравнении с предыдущим периодом;Общее количество заказанных товаров;Самая низкая цена, которую заплатил покупатель, с учётом скидок продавца и покупателя;Средняя цена, которую заплатил покупатель, с учётом скидок продавца и покупателя;Сколько выручки мог бы ещё получить продавец, если бы товар был на складе все 28 дней;Считаем сколько дней из последних 28 товар был в наличии;Средняя сумма заказов в сутки (ADS) — делим сумму всех продаж за 28 дней на количество дней, когда товар был в наличии. Не вычитаем возвраты и отмены;Среднее количество заказов в сутки — делим количество всех заказов за 28 дней на количество дней, когда товар был в наличии;Модель сотрудничества с Ozon — зависит от того, с чьего склада продаётся товар (Ozon или продавца) и кто доставляет заказ;Умножаем время доставки между кластерами по всем маршрутам на количество отправленных товаров за 28 дней. Затем суммируем полученные значения и делим на общее количество товаров;Сколько места занимает товар — чем больше объём, тем выше стоимость логистики и размещения товара на складе Ozon;Какой процент с продажи товара составляют расходы на Ozon. Считаем отдельно для схем FBO и FBS;Какой процент с продажи товара составляют расходы на Ozon. Считаем отдельно для схем FBO и FBS;Сколько раз покупатели посмотрели товар в поисковой выдаче и каталоге;Сколько раз покупатели перешли в карточку товара за последние 28 дней;Отношение количества добавлений товара в корзину к количеству просмотров в каталоге и поиске;Отношение количества просмотров карточки к количеству добавлений товара в корзину после просмотра;Процент расходов на продвижение товаров от суммы всех заказов;Процент заказанных товаров, которые не отменили и не вернули;—
Кофе в капсулах Di Maestri Caffitaly Arabica 80 шт;1387458028;DiMaestri.CSP.Set80.Arabica;https://www.ozon.ru/product/1387458028;Di Maestri;Продукты питания;Кофе в капсулах;Нет;88 027 ₽;+11%;20;3 347 ₽;4 401 ₽;0 ₽;7 из 28;2 669 ₽;1;FBO;28 ч;5,2;35,0%;41,0%;758;163;0,65%;11,65%;0,0%;90,0%;2024-01-15
Кофе в зернах Кимбо Арома Голд 1 кг (Kimbo Aroma Gold 1kg);2378908979;76679649649649;https://www.ozon.ru/product/2378908979;без бренда;Продукты питания;Кофе в зернах;Нет;88 013 ₽;+51%;61;1 002 ₽;1 443 ₽;0 ₽;27 из 28;3 190 ₽;2;FBS;0 ч;2,2;37,0%;46,0%;5 674;633;0,05%;15,16%;2,1%;98,3%;2025-06-29
Кофе в зернах EGOISTE Noir (Эгоист ноир) 1 кг;3223840303;Эгоист ноир, 1 кг_3;https://www.ozon.ru/product/3223840303;EGOISTE;Продукты питания;Кофе в зернах;Нет;88 003 ₽;0%;66;1 165 ₽;1 333 ₽;47 979 ₽;27 из 28;4 798 ₽;4;FBS;0 ч;4,9;39,0%;48,0%;6 607;918;0,71%;10,67%;2,8%;96,9%;2025-12-11
Кофе в зернах Poetti Neuro Limited Edition Uganda, 250 г;2438475501;18217;https://www.ozon.ru/product/2438475501;Poetti;Продукты питания;Кофе в зернах;Нет;87 986 ₽;+279%;208;1 ₽;423 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,4;46,0%;63,0%;45 664;2 905;0,35%;11,80%;0,0%;0,0%;0001-01-01
Кофе растворимый Lebo AROMA CHOCO BROWNIE Арабика 100%, натуральный ароматизатор , 70 г;1430014732;4602076003020;https://www.ozon.ru/product/1430014732;Lebo;Продукты питания;Кофе растворимый;Нет;87 962 ₽;-46%;432;1 ₽;204 ₽;0 ₽;27 из 28;3 139 ₽;15;FBO,FBS;55 ч;1,3;39,0%;49,0%;22 759;7 112;1,05%;9,84%;0,0%;92,3%;2024-02-21
Кофе в зернах Movenpick Der Himmlische 1000г зерно;3084067560;7578489005;https://www.ozon.ru/product/3084067560;Movenpick;Продукты питания;Кофе в зернах;Нет;87 935 ₽;+190%;62;1 019 ₽;1 418 ₽;0 ₽;27 из 28;3 043 ₽;2;FBS;0 ч;2,5;38,0%;47,0%;10 579;882;0,53%;14,28%;2,3%;96,7%;2025-11-09
MOVENPICK (J.J. Darboven) Кофе CREMA Caffe, в зернах, 1 кг;3200035647;Z M CREMA Caffe1;https://www.ozon.ru/product/3200035647;без бренда;Продукты питания;Кофе в зернах;Нет;87 929 ₽;0%;67;894 ₽;1 312 ₽;87 096 ₽;27 из 28;6 221 ₽;5;FBS;0 ч;8,5;38,0%;47,0%;7 113;442;0,35%;18,32%;1,7%;95,5%;2025-12-05
Кофе в зернах Сварщица Екатерина Гватемала под молочко - 250 гр;2951543746;487e7fed-849f-4276-8756-b4b3951dc1f1;https://www.ozon.ru/product/2951543746;The WELDER CATHERINE;Продукты питания;Кофе в зернах;Нет;87 917 ₽;+49%;89;155 ₽;988 ₽;0 ₽;26 из 28;2 887 ₽;3;FBO,FBS;42 ч;3,4;41,0%;53,0%;4 782;1 332;1,58%;6,23%;0,0%;87,6%;2025-10-10
Большой дрип-бокс Сварщица Екатерина Бурунди Маша, 30 шт;2762827497;9ea5184f-d024-44df-9126-57e7527a49d3;https://www.ozon.ru/product/2762827497;The WELDER CATHERINE;Продукты питания;Кофе в дрип-пакетах;Нет;87 898 ₽;+58%;37;1 968 ₽;2 376 ₽;11 441 ₽;27 из 28;3 814 ₽;2;FBO;48 ч;4,5;37,0%;45,0%;2 510;800;0,83%;4,37%;0,0%;94,2%;2025-08-27
Кофе молотый LOFBERGS Crescendo 2х500г;1927918179;289078;https://www.ozon.ru/product/1927918179;Lofbergs;Продукты питания;Кофе молотый;Нет;87 877 ₽;+264%;43;1 494 ₽;2 044 ₽;0 ₽;23 из 28;3 138 ₽;2;FBS;0 ч;3,2;37,0%;44,0%;2 350;246;1,10%;17,47%;0,0%;100,0%;2025-03-10
"Кофе в алюминиевых капсулах EPSILONPRESSO ""Ваниль, Орех, Карамель"", для системы Nespresso, набор 30 шт";2646418734;16002;https://www.ozon.ru/product/2646418734;Epsilonpresso;Продукты питания;Кофе в капсулах;Нет;87 849 ₽;+15%;88;830 ₽;998 ₽;0 ₽;24 из 28;3 097 ₽;3;FBO;38 ч;1,3;40,0%;50,0%;14 782;1 576;0,21%;10,72%;8,7%;94,3%;2025-08-09
Кофе в зернах Московская кофейня на паяхъ, Коломбо, 500 гр.;935351152;4601985000045;https://www.ozon.ru/product/935351152;Московская кофейня на паяхъ;Продукты питания;Кофе в зернах;Нет;87 817 ₽;+2%;108;1 ₽;813 ₽;0 ₽;25 из 28;3 092 ₽;4;FBO;52 ч;2,0;40,0%;52,0%;7 480;5 336;1,02%;3,93%;0,0%;93,5%;2023-04-13
Кофе растворимый, Московская Кофейня на паяхъ Коломбо 100% натуральный сублимированный, 230 гр.;1125058986;4601985008003;https://www.ozon.ru/product/1125058986;Московская кофейня на паяхъ;Продукты питания;Кофе растворимый;Нет;87 808 ₽;+74%;109;723 ₽;806 ₽;14 884 ₽;25 из 28;3 721 ₽;5;FBO;40 ч;3,3;43,0%;56,0%;6 413;1 301;1,02%;11,37%;0,0%;97,2%;2023-08-08
Кофе растворимый Jardin Colombia Medellin, 240 г;1654696117;236796005;https://www.ozon.ru/product/1654696117;Jardin;Продукты питания;Кофе растворимый;Нет;87 787 ₽;-30%;106;377 ₽;828 ₽;0 ₽;8 из 28;3 231 ₽;4;FBO;31 ч;4,1;45,0%;60,0%;14 424;1 670;0,54%;10,17%;0,0%;93,3%;2024-08-10
Кофе в зернах арабика 100% Бразилия Сантос, 1000 гр;536945253;200021;https://www.ozon.ru/product/536945253;GIRAFFE COFFEE;Продукты питания;Кофе в зернах;Нет;87 782 ₽;-12%;48;1 288 ₽;1 829 ₽;0 ₽;12 из 28;3 244 ₽;2;FBO;43 ч;1,4;36,0%;43,0%;1 641;402;0,30%;13,93%;0,0%;97,9%;2022-03-28
Кофе в зернах 1 кг Шоколадный Фундук ароматизированный 100% Арабика;2042587298;Нутелла1кг;https://www.ozon.ru/product/2042587298;Пейте Дома;Продукты питания;Кофе в зернах;Нет;87 763 ₽;+143%;54;1 448 ₽;1 625 ₽;0 ₽;21 из 28;3 067 ₽;2;FBO;37 ч;3,6;36,0%;44,0%;7 822;408;0,40%;19,85%;1,4%;96,2%;2025-04-17
Капсулы TASSIMO (80 шт. / 5x16) Jacobs LOr Long Intense для кофемашин Bosch Tassimo;1919881025;VMA384131;https://www.ozon.ru/product/1919881025;Tassimo;Продукты питания;Кофе в капсулах;Нет;87 742 ₽;-57%;19;4 439 ₽;4 618 ₽;0 ₽;0 из 28;0 ₽;0;FBS;0 ч;6,0;35,0%;41,0%;2 495;853;0,92%;6,79%;0,0%;84,2%;2025-03-06
Ambassador Кофе растворимый 190г. 1шт.;2124423298;ШФ000017451;https://www.ozon.ru/product/2124423298;Ambassador;Продукты питания;Кофе растворимый;Нет;87 664 ₽;+415%;103;649 ₽;851 ₽;0 ₽;20 из 28;2 981 ₽;4;FBO;40 ч;1,5;39,0%;48,0%;10 304;1 808;0,99%;8,96%;0,0%;94,1%;2025-05-12
Набор кофе в зернах 250г х 3шт Ирландский крем, Пломбир, Крем-Брюле Феличе;1270866405;кофенаб_n23_750_ИрлКр_Пломбир_КремБрюле;https://www.ozon.ru/product/1270866405;Feliche life;Продукты питания;Кофе в зернах;Нет;87 595 ₽;+282%;50;1 528 ₽;1 752 ₽;0 ₽;12 из 28;2 999 ₽;2;FBO;42 ч;2,7;36,0%;43,0%;13 541;733;0,25%;12,68%;1,6%;90,0%;2023-11-02
Кофе в зернах, illy Intenso Dark Roast,250 гр. Италия;1638377309;ton091;https://www.ozon.ru/product/1638377309;illy;Продукты питания;Кофе в зернах;Да;87 564 ₽;0%;96;728 ₽;912 ₽;0 ₽;26 из 28;4 865 ₽;5;FBO;0 ч;3,4;42,0%;55,0%;3 453;981;2,22%;6,62%;8,3%;95,8%;2024-07-25
Кофе молотый Hausbrandt Decaffeinated без кофеина, 250 гр, итальянская обжарка;601827457;1619;https://www.ozon.ru/product/601827457;Hausbrandt;Продукты питания;Кофе молотый;Нет;87 510 ₽;+133%;116;476 ₽;754 ₽;0 ₽;17 из 28;3 325 ₽;4;FBO,FBS;32 ч;0,6;40,0%;52,0%;10 324;1 457;0,78%;11,59%;0,9%;99,1%;2022-05-31
Кофе в капсулах illy Classico Espresso Lungo, для системы Iperespresso, 18 капс (арабика 100%, Италия);2035170001;5000005162;https://www.ozon.ru/product/2035170001;illy;Продукты питания;Кофе в капсулах;Нет;87 490 ₽;-33%;66;1 110 ₽;1 326 ₽;29 163 ₽;22 из 28;4 166 ₽;3;FBO;32 ч;10,5;46,0%;59,0%;640;297;2,96%;12,12%;0,0%;98,4%;2025-04-15
Кофе в дрип-пакетах rockets.coffee, Rockets SPECIAL EDITION21, в упаковке 21 штука;3078043062;200001090;https://www.ozon.ru/product/3078043062;rockets;Продукты питания;Кофе в дрип-пакетах;Нет;87 386 ₽;+14%;40;1 549 ₽;2 185 ₽;0 ₽;27 из 28;4 742 ₽;2;FBO,FBS;0 ч;12,8;42,0%;53,0%;1 405;682;2,41%;7,62%;0,0%;95,0%;2025-11-07
Капсулы Lavazza ALU Espresso Lungo 10 шт;1268099107;7007;https://www.ozon.ru/product/1268099107;Lavazza;Продукты питания;Кофе в капсулах;Нет;87 370 ₽;-9%;159;371 ₽;550 ₽;0 ₽;9 из 28;3 144 ₽;6;FBO;28 ч;0,3;43,0%;58,0%;6 927;1 357;0,75%;8,25%;1,5%;95,5%;2023-10-31
Кофе в капсулах Nespresso Professional. Набор из 9 вкусов. 54 капсулы;1987049910;Nespresso54;https://www.ozon.ru/product/1987049910;Nespresso;Продукты питания;Кофе в капсулах;Нет;87 369 ₽;-53%;20;3 339 ₽;4 368 ₽;3 091 ₽;22 из 28;3 091 ₽;1;FBO,FBS;0 ч;4,4;34,0%;40,0%;890;272;1,23%;8,82%;0,0%;95,0%;2025-03-31
Кофе в зернах 250гр набор 3 шт Ирландский крем, Баварский шоколад, Арахис в карамели Lancof;1681268227;КофеНаб_№53_КНП_Ирл.Кр_Бав.Шок_АрВКар_750;https://www.ozon.ru/product/1681268227;Lancof;Продукты питания;Кофе в зернах;Нет;87 342 ₽;+165%;50;1 547 ₽;1 747 ₽;0 ₽;16 из 28;3 052 ₽;2;FBO;28 ч;2,5;35,0%;42,0%;13 116;1 097;0,32%;12,21%;1,6%;96,0%;2024-09-04
"Кофе растворимый ""Nescafe Gold"" (Нескафе Голд натуральный сублимированный) 900 гр";3169028810;1234567;https://www.ozon.ru/product/3169028810;НЕСКАФÉ;Продукты питания;Кофе молотый;Нет;87 334 ₽;0%;48;1 332 ₽;1 819 ₽;0 ₽;27 из 28;3 119 ₽;2;FBS;0 ч;3,4;37,0%;46,0%;2 931;783;0,78%;12,00%;0,0%;93,7%;2025-11-28
Кофе в зернах Original blend Last Wish Signature Series 1 кг арабика робуста;269712407;СОБ-1;https://www.ozon.ru/product/269712407;LAST WISH;Продукты питания;Кофе в зернах;Нет;87 258 ₽;-36%;50;1 526 ₽;1 745 ₽;0 ₽;27 из 28;3 057 ₽;2;FBO;46 ч;8,0;40,0%;50,0%;8 026;1 354;0,12%;6,35%;1,1%;98,0%;2021-06-03
Кофе капсулы для кофемашин Nespresso Espresso Forte Field набор 20шт;904534022;FNSForte-20;https://www.ozon.ru/product/904534022;Field;Продукты питания;Кофе в капсулах;Нет;87 252 ₽;-30%;192;326 ₽;454 ₽;0 ₽;20 из 28;3 129 ₽;7;FBO;67 ч;2,9;50,0%;70,0%;7 483;1 248;0,44%;13,46%;0,4%;97,9%;2023-03-22
"JFK Кофе растворимый CLASSIC Индия 200г. Годен до 30.06.2026г. ""тот самый вкус""";912815276;IH022;https://www.ozon.ru/product/912815276;JFK;Продукты питания;Кофе растворимый;Нет;87 229 ₽;-49%;149;418 ₽;585 ₽;18 612 ₽;27 из 28;3 722 ₽;6;FBO,FBS;0 ч;1,7;43,0%;57,0%;10 952;2 460;0,69%;10,56%;0,0%;89,2%;2023-03-28
Кофе в капсулах Nespresso Vertuo ARONDIO, 10 шт. (объём 150 мл.);825059459;7232.50;https://www.ozon.ru/product/825059459;Nespresso;Продукты питания;Кофе в капсулах;Нет;87 184 ₽;+21%;62;1 052 ₽;1 406 ₽;0 ₽;26 из 28;3 169 ₽;2;FBO,FBS;28 ч;1,5;37,0%;45,0%;37 345;977;0,08%;6,03%;25,6%;95,0%;2022-12-22
Кофе молотый 250 гр ИРЛАНДСКИЙ КРЕМ 100% арабика свежая обжарка СOFFEE INN Arabica;1944515266;Ирл.крем.молот250;https://www.ozon.ru/product/1944515266;COFFEE INN;Продукты питания;Кофе молотый;Нет;87 179 ₽;+42%;131;1 ₽;665 ₽;19 222 ₽;23 из 28;3 844 ₽;6;FBO;40 ч;0,8;39,0%;49,0%;36 200;3 376;0,24%;8,38%;15,3%;98,4%;2025-03-16
Набор кофе в капсулах MakBush 3 вкуса, для кофемашины Nespresso, 30 шт.;1568887998;CAPШ1;https://www.ozon.ru/product/1568887998;MakBush;Продукты питания;Кофе в капсулах;Нет;87 171 ₽;-4%;85;714 ₽;1 026 ₽;0 ₽;18 из 28;3 035 ₽;3;FBO;33 ч;2,0;40,0%;50,0%;29 987;1 194;0,12%;9,54%;13,6%;96,4%;2024-05-08
Дрип кофе Buenos Dias Клубника со сливками 6 шт по 10 гр (Молотый кофе в дрип-пакетах ароматизированный);794102620;DBD41047;https://www.ozon.ru/product/794102620;BUENOS DIAS;Продукты питания;Кофе в дрип-пакетах;Нет;87 146 ₽;+58%;232;36 ₽;376 ₽;0 ₽;12 из 28;3 059 ₽;8;FBO;31 ч;0,9;48,0%;67,0%;17 670;1 185;0,49%;29,11%;0,0%;99,5%;2022-11-16
Кофе в зернах Julius Meinl Jubilum (Юбилейный), средняя обжарка, 1 кг, премиальная арабика;3039058832;Юлиус майнл юбилейный 1 кг_333;https://www.ozon.ru/product/3039058832;Julius Meinl;Продукты питания;Кофе в зернах;Нет;87 125 ₽;+17%;59;1 242 ₽;1 477 ₽;0 ₽;26 из 28;3 112 ₽;2;FBS;0 ч;5,0;38,0%;47,0%;6 189;752;0,84%;9,04%;1,6%;92,5%;2025-10-29
Молотый кофе по-турецки ENTE 200 г, 100% арабика;207269433;Б1000012214;https://www.ozon.ru/product/207269433;Ente;Продукты питания;Кофе молотый;Нет;87 100 ₽;-19%;216;1 ₽;403 ₽;0 ₽;6 из 28;3 141 ₽;8;FBO;28 ч;1,8;50,0%;70,0%;12 968;3 543;0,33%;11,23%;0,0%;97,6%;2020-11-16
Кофе молотый Coffesso VELUTTO, 250 г;2005535235;102503;https://www.ozon.ru/product/2005535235;Coffesso;Продукты питания;Кофе молотый;Нет;87 078 ₽;+6%;152;1 ₽;573 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,6;44,0%;58,0%;45 743;22 332;0,25%;2,28%;0,0%;0,0%;0001-01-01
Кофе в капсулах Nespresso Vertuo INIZIO, 10 шт., (объём 150 мл.);679334193;7159.40;https://www.ozon.ru/product/679334193;Nespresso;Продукты питания;Кофе в капсулах;Нет;87 018 ₽;-26%;60;1 121 ₽;1 450 ₽;0 ₽;24 из 28;3 108 ₽;2;FBS;0 ч;1,5;37,0%;45,0%;15 453;268;0,17%;11,56%;9,7%;98,3%;2022-08-19
Кофе растворимый barista 3в1 STRONG, с сахаром и сливками, 50 штук 5 упаковок, Беларусь;1467378228;4813785009764_STR_3V1_50PCS;https://www.ozon.ru/product/1467378228;Barista MIO;Продукты питания;Кофе растворимый;Нет;86 994 ₽;-36%;121;1 ₽;719 ₽;0 ₽;24 из 28;3 020 ₽;4;FBO;48 ч;2,0;41,0%;54,0%;61 830;8 227;0,07%;6,47%;17,4%;97,5%;2024-03-12
Кофе капсульный Coffesso Ethiopia Floral, 10 шт;1598544674;102518;https://www.ozon.ru/product/1598544674;Coffesso;Продукты питания;Кофе в капсулах;Нет;86 989 ₽;-9%;316;1 ₽;275 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,4;52,0%;75,0%;20 538;2 235;0,72%;9,97%;0,0%;0,0%;0001-01-01
Кофе в капсулах набор NESPRESSO Coconut Flavour Over Ice 50 капсул;1616171749;1205;https://www.ozon.ru/product/1616171749;Nespresso;Продукты питания;Кофе в капсулах;Нет;86 958 ₽;+234%;19;4 061 ₽;4 577 ₽;0 ₽;21 из 28;2 951 ₽;1;FBS;0 ч;2,2;34,0%;39,0%;2 010;203;0,44%;10,83%;1,3%;89,4%;2024-06-28
Кофе в капсулах Starbucks Dolce Gusto House Blend, Старбакс Дольче Густо Хаус Бленд, эспрессо, 36 капсул;1155648905;12532050_3;https://www.ozon.ru/product/1155648905;Starbucks;Продукты питания;Кофе в капсулах;Нет;86 935 ₽;+595%;29;2 730 ₽;2 998 ₽;0 ₽;24 из 28;3 105 ₽;1;FBO;39 ч;4,4;36,0%;43,0%;7 795;703;0,14%;4,83%;2,0%;89,6%;2023-08-26
Кофе растворимый Maccoffe Капучино 3 в 1 в пакетиках 20 шт с шоколадом без сахара;3173625057;8887290002356_MACCOFFEE_DI TURINO_LESS_SUGAR_20PCS;https://www.ozon.ru/product/3173625057;MacCoffee;Продукты питания;Кофейный напиток;Да;86 917 ₽;0%;220;233 ₽;395 ₽;0 ₽;26 из 28;3 216 ₽;8;FBO;0 ч;4,3;53,0%;73,0%;7 938;10 223;0,78%;4,44%;0,0%;86,3%;2025-11-29
Black Moon Crema Aroma кофе молотый арабика/робуста набор 2 шт. 500 г;1592869010;BM02CRE2108;https://www.ozon.ru/product/1592869010;Black Moon;Продукты питания;Кофе молотый;Нет;86 858 ₽;-63%;120;1 ₽;724 ₽;0 ₽;27 из 28;3 097 ₽;4;FBO;63 ч;1,1;42,0%;54,0%;10 967;1 644;0,37%;11,55%;0,0%;97,5%;2024-06-01
DE JANEIRO ESPRESSO ROBUSTA Кофе в зернах 250 гр, 100% Робуста;2082066923;DJ-ROBUSTA-250;https://www.ozon.ru/product/2082066923;DE JANEIRO;Продукты питания;Кофе в зернах;Нет;86 856 ₽;-32%;136;525 ₽;639 ₽;0 ₽;21 из 28;3 077 ₽;5;FBO;39 ч;2,3;45,0%;60,0%;26 444;4 761;0,58%;5,41%;4,0%;97,7%;2025-04-28
"Кофе натуральный жаренный молотый ""ARABICA BRAZIL"" Veronese, 200 г, для турки, для капельной, гейзерной кофеварки";604292048;4620017633372;https://www.ozon.ru/product/604292048;Veronese;Продукты питания;Кофе молотый;Нет;86 841 ₽;-12%;236;242 ₽;368 ₽;0 ₽;22 из 28;3 090 ₽;8;FBO;42 ч;1,0;51,0%;71,0%;19 848;6 922;0,43%;5,56%;0,0%;98,3%;2022-06-02
Кофейный концентрат Бразилия, Эфиопия / Coolbrew, 9шт по 30мл / Кофейный напиток;1079587088;SC/298/001/112;https://www.ozon.ru/product/1079587088;COOLBREW;Продукты питания;Кофейный напиток;Нет;86 822 ₽;+10%;117;555 ₽;742 ₽;0 ₽;11 из 28;3 026 ₽;4;FBO;31 ч;0,7;40,0%;50,0%;20 634;7 072;0,19%;3,42%;13,1%;97,4%;2023-07-14
Mehmet Efendi, 1000гр, кофе в зернах, Турция;2433479504;Мехмет эф 2*500;https://www.ozon.ru/product/2433479504;Kurukahveci Mehmet Efendi;Продукты питания;Кофе в зернах;Нет;86 817 ₽;-32%;56;1 393 ₽;1 550 ₽;314 537 ₽;28 из 28;13 106 ₽;9;FBS;0 ч;3,6;38,0%;46,0%;1 309;703;2,82%;13,22%;0,0%;49,0%;2025-07-08
Кофе LOFBERGS Kharisma Dark Roast 3х1000г зерно;1928902971;289089;https://www.ozon.ru/product/1928902971;Lofbergs;Продукты питания;Кофе в зернах;Нет;86 801 ₽;-26%;16;5 093 ₽;5 425 ₽;229 919 ₽;27 из 28;11 496 ₽;2;FBS;0 ч;8,3;35,0%;41,0%;420;244;1,19%;6,14%;0,0%;100,0%;2025-03-10
BUSHIDO Кофе растворимый Сублимированный 100г. 1шт.;2517008855;KSBBK100;https://www.ozon.ru/product/2517008855;BUSHIDO;Продукты питания;Кофе растворимый;Нет;86 772 ₽;-77%;85;747 ₽;1 021 ₽;0 ₽;27 из 28;3 078 ₽;3;FBO,FBS;28 ч;2,5;40,0%;51,0%;11 218;2 357;0,30%;4,62%;0,0%;96,3%;2025-07-21
Кофе в капсулах Ristrello Balanced для кофемашины Nespresso Арабика средней обжарки 10 капсул . Интенсивность 6;288917459;RICCO10;https://www.ozon.ru/product/288917459;Ristrello;Продукты питания;Кофе в капсулах;Нет;86 701 ₽;+15%;274;120 ₽;316 ₽;0 ₽;17 из 28;3 029 ₽;10;FBO,FBS;33 ч;1,2;54,0%;78,0%;4 995;4 001;0,64%;9,19%;0,0%;93,0%;2021-07-14
Кофе в зернах с ароматом Ginger cookies, ароматизированный натуральный кофе Имбирный пряник, 200 гр.;528897196;4620017633105;https://www.ozon.ru/product/528897196;Veronese;Продукты питания;Кофе в зернах;Нет;86 683 ₽;+145%;226;256 ₽;384 ₽;0 ₽;9 из 28;3 012 ₽;8;FBO;30 ч;1,3;53,0%;76,0%;9 681;5 127;0,99%;5,65%;0,0%;92,9%;2022-03-21
Кофе молотый армянский Grand Armenia 250г Арабика / Робуста / средняя обжарка;560566826;9010;https://www.ozon.ru/product/560566826;Grand Armenia;Продукты питания;Кофе молотый;Нет;86 665 ₽;+31%;203;1 ₽;427 ₽;0 ₽;25 из 28;3 159 ₽;7;FBO;41 ч;0,5;46,0%;62,0%;40 054;3 148;0,26%;9,94%;19,3%;98,5%;2022-04-18
Кофе Nespresso CHIARO, упаковка 10 капсул;843757375;7732.60;https://www.ozon.ru/product/843757375;Nespresso;Продукты питания;Кофе в капсулах;Нет;86 657 ₽;-35%;76;806 ₽;1 140 ₽;0 ₽;23 из 28;3 078 ₽;3;FBO,FBS;75 ч;0,6;37,0%;46,0%;6 131;557;0,27%;10,23%;0,9%;95,9%;2023-01-23
Кофе в зернах 1 кг, Арабика 100%, КЕНИЯ АА, RB ROASTERS, свежеобжаренный зерновой кофе;2978906119;RBR-F-КЕНИЯ АА, 1кг;https://www.ozon.ru/product/2978906119;RB Roasters;Продукты питания;Кофе в зернах;Нет;86 618 ₽;+38%;50;1 109 ₽;1 732 ₽;92 764 ₽;28 из 28;6 626 ₽;4;FBO,FBS;0 ч;3,8;37,0%;46,0%;2 799;1 429;0,21%;5,94%;6,7%;96,0%;2025-10-16
